SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"POWERINDIA","33,540.00","33,540.00","31,900.00","33,545.00","32,005.00","-","-1540","-4.59","137304","445.43","38,785.00","16,111.00","-10.97","64.21"
"BAJAJ-AUTO","10,366.00","10,499.00","10,350.00","10,331.50","10,439.50","-","108","1.05","426656","444.83","10,834.00","7,858.50","3.96","25.32"
"COFORGE","1,549.70","1,560.60","1,495.20","1,530.70","1,510.00","-","-20.7","-1.35","2927353","444.15","1,989.70","1,008.10","3.02","-19.05"
"ITC","279.35","281.95","277.80","279.35","280.50","-","1.15","0.41","15215868","426.55","427.00","275.00","-3.53","-33.84"
"BHARATFORG","2,101.00","2,196.70","2,101.00","2,104.70","2,195.00","-","90.3","4.29","1942065","419.67","2,238.00","1,100.50","7.89","79.21"
"HDFCAMC","2,601.70","2,669.00","2,588.40","2,602.20","2,650.10","-","47.9","1.84","1533879","405.04","2,967.25","2,205.60","-2.25","-3.81"
"WIPRO","173.55","176.26","173.55","177.74","175.90","-","-1.84","-1.04","22960032","402.28","273.10","169.00","-4.65","-32.5"
"HINDALCO","955.00","959.10","939.50","959.30","945.05","-","-14.25","-1.49","4222686","399.78","1,176.00","657.50","-6.24","40.1"
"BIOCON","444.40","444.45","432.80","440.70","437.90","-","-2.8","-0.64","8811391","384.86","447.15","331.00","6.33","10.3"
"NATIONALUM","353.00","353.75","338.05","354.45","341.35","-","-13.1","-3.7","11229123","383.67","445.15","179.93","-7.74","80.49"
"IDEA","13.83","14.00","13.71","13.89","13.72","-","-0.17","-1.22","275409119","380.89","15.34","6.12","-8.04","76.8"
"TATASTEEL","185.20","186.59","183.41","185.49","185.75","-","0.26","0.14","20132684","372.94","224.40","152.51","-6.66","16.17"
"EICHERMOT","7,450.00","7,575.00","7,450.00","7,418.50","7,556.00","-","137.5","1.85","489811","369.06","8,230.00","5,353.00","0.63","33.73"
"CUMMINSIND","5,582.00","5,582.00","5,390.00","5,592.00","5,436.00","-","-110","-1.98","666621","362.72","6,100.00","3,481.50","-6.81","51.64"
"OFSS","11,709.00","11,850.00","11,337.00","11,681.00","11,799.00","-","118","1.01","299599","348.80","11,958.00","6,234.50","24.93","34.92"
"GVT&D","4,584.10","4,588.00","4,342.00","4,584.10","4,388.20","-","-195.9","-4.27","782766","345.70","5,650.00","2,293.60","-14.83","81.55"
